"Time of Day","Process Name","PID","Operation","Path","Result","Detail","User","Session","Description","Command Line"
"1:24:48.9949521","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450A-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9950149","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9950746","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9950889","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9953392","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450A-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9953976","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9954539","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9954681","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9957351","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450A-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9957930","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9958762","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
